x y Vx Vy V V1 V2 V3 V4
-1.92e+00 -1.28e+00 -2.03e-11 -2.03e-11 +2.03e-11 +3.11e-32 +3.22e-23 +2.03e-11 +1.61e-16
-1.92e+00 -1.20e+00 -8.53e-11 -8.53e-11 +8.53e-11 +3.94e-31 +6.32e-23 +8.53e-11 +2.04e-15
-1.92e+00 -1.12e+00 -3.21e-10 -3.22e-10 +3.22e-10 +4.28e-30 +1.09e-22 +3.22e-10 +2.21e-14
-1.92e+00 -1.04e+00 -1.09e-09 -1.09e-09 +1.09e-09 +3.98e-29 +1.68e-22 +1.09e-09 +2.05e-13
-1.92e+00 -9.60e-01 -3.31e-09 -3.32e-09 +3.32e-09 +3.17e-28 +2.31e-22 +3.31e-09 +1.62e-12
-1.92e+00 -8.80e-01 -9.11e-09 -9.13e-09 +9.13e-09 +2.16e-27 +2.90e-22 +9.12e-09 +1.10e-11
-1.92e+00 -8.00e-01 -2.26e-08 -2.28e-08 +2.28e-08 +1.27e-26 +3.36e-22 +2.27e-08 +6.41e-11
-1.92e+00 -7.20e-01 -5.08e-08 -5.15e-08 +5.15e-08 +6.36e-26 +3.67e-22 +5.12e-08 +3.20e-10
-1.92e+00 -6.40e-01 -1.03e-07 -1.06e-07 +1.06e-07 +2.75e-25 +3.85e-22 +1.05e-07 +1.37e-09
-1.92e+00 -5.60e-01 -1.89e-07 -1.99e-07 +1.99e-07 +1.02e-24 +3.93e-22 +1.94e-07 +5.03e-09
-1.92e+00 -4.80e-01 -3.11e-07 -3.43e-07 +3.43e-07 +3.28e-24 +3.95e-22 +3.27e-07 +1.59e-08
-1.92e+00 -4.00e-01 -4.53e-07 -5.40e-07 +5.40e-07 +9.09e-24 +3.90e-22 +4.97e-07 +4.33e-08
-1.92e+00 -3.20e-01 -5.78e-07 -7.81e-07 +7.81e-07 +2.19e-23 +3.78e-22 +6.80e-07 +1.02e-07
-1.92e+00 -2.40e-01 -6.26e-07 -1.04e-06 +1.04e-06 +4.60e-23 +3.54e-22 +8.33e-07 +2.07e-07
-1.92e+00 -1.60e-01 -5.44e-07 -1.27e-06 +1.27e-06 +8.47e-23 +3.15e-22 +9.09e-07 +3.65e-07
-1.92e+00 -8.00e-02 -3.19e-07 -1.44e-06 +1.44e-06 +1.38e-22 +2.62e-22 +8.79e-07 +5.59e-07
-1.92e+00 +0.00e+00 +1.80e-21 -1.50e-06 +1.50e-06 +2.00e-22 +2.00e-22 +7.49e-07 +7.49e-07
-1.92e+00 +8.00e-02 +3.19e-07 -1.44e-06 +1.44e-06 +2.62e-22 +1.38e-22 +5.59e-07 +8.79e-07
-1.92e+00 +1.60e-01 +5.44e-07 -1.27e-06 +1.27e-06 +3.15e-22 +8.47e-23 +3.65e-07 +9.09e-07
-1.92e+00 +2.40e-01 +6.26e-07 -1.04e-06 +1.04e-06 +3.54e-22 +4.60e-23 +2.07e-07 +8.33e-07
-1.92e+00 +3.20e-01 +5.78e-07 -7.81e-07 +7.81e-07 +3.78e-22 +2.19e-23 +1.02e-07 +6.80e-07
-1.92e+00 +4.00e-01 +4.53e-07 -5.40e-07 +5.40e-07 +3.90e-22 +9.09e-24 +4.33e-08 +4.97e-07
-1.92e+00 +4.80e-01 +3.11e-07 -3.43e-07 +3.43e-07 +3.95e-22 +3.28e-24 +1.59e-08 +3.27e-07
-1.92e+00 +5.60e-01 +1.89e-07 -1.99e-07 +1.99e-07 +3.93e-22 +1.02e-24 +5.03e-09 +1.94e-07
-1.92e+00 +6.40e-01 +1.03e-07 -1.06e-07 +1.06e-07 +3.85e-22 +2.75e-25 +1.37e-09 +1.05e-07
-1.92e+00 +7.20e-01 +5.08e-08 -5.15e-08 +5.15e-08 +3.67e-22 +6.36e-26 +3.20e-10 +5.12e-08
-1.92e+00 +8.00e-01 +2.26e-08 -2.28e-08 +2.28e-08 +3.36e-22 +1.27e-26 +6.41e-11 +2.27e-08
-1.92e+00 +8.80e-01 +9.11e-09 -9.13e-09 +9.13e-09 +2.90e-22 +2.16e-27 +1.10e-11 +9.12e-09
-1.92e+00 +9.60e-01 +3.31e-09 -3.32e-09 +3.32e-09 +2.31e-22 +3.17e-28 +1.62e-12 +3.31e-09
-1.92e+00 +1.04e+00 +1.09e-09 -1.09e-09 +1.09e-09 +1.68e-22 +3.98e-29 +2.05e-13 +1.09e-09
-1.92e+00 +1.12e+00 +3.21e-10 -3.22e-10 +3.22e-10 +1.09e-22 +4.28e-30 +2.21e-14 +3.22e-10
-1.92e+00 +1.20e+00 +8.53e-11 -8.53e-11 +8.53e-11 +6.32e-23 +3.94e-31 +2.04e-15 +8.53e-11
-1.92e+00 +1.28e+00 +2.03e-11 -2.03e-11 +2.03e-11 +3.22e-23 +3.11e-32 +1.61e-16 +2.03e-11
-1.92e+00 +1.36e+00 +4.31e-12 -4.31e-12 +4.30e-12 +1.43e-23 +2.09e-33 +1.09e-17 +4.31e-12
-1.92e+00 +1.44e+00 +8.16e-13 -8.16e-13 +8.16e-13 +5.53e-24 +1.20e-34 +6.26e-19 +8.16e-13
-1.92e+00 +1.52e+00 +1.37e-13 -1.37e-13 +1.38e-13 +1.85e-24 +5.92e-36 +3.08e-20 +1.37e-13
-1.92e+00 +1.60e+00 +2.05e-14 -2.05e-14 +2.06e-14 +5.36e-25 +2.49e-37 +1.30e-21 +2.05e-14
