wl n k a
5.90000e+02 1.33361e+00 6.36488e-09 1.35565e-01
5.96000e+02 1.33332e+00 7.72307e-09 1.62837e-01
6.00000e+02 1.33310e+00 9.63363e-09 2.01766e-01
6.05000e+02 1.33281e+00 1.13185e-08 2.35096e-01
6.10000e+02 1.33260e+00 1.23820e-08 2.55076e-01
6.15000e+02 1.33232e+00 1.32981e-08 2.71722e-01
6.19000e+02 1.33211e+00 1.39891e-08 2.83994e-01
6.25000e+02 1.33183e+00 1.47160e-08 2.95883e-01
6.30000e+02 1.33162e+00 1.50242e-08 2.99681e-01
6.35000e+02 1.33135e+00 1.55164e-08 3.07062e-01
6.40000e+02 1.33114e+00 1.56960e-08 3.08191e-01
6.46000e+02 1.33088e+00 1.60616e-08 3.12441e-01
6.50000e+02 1.33068e+00 1.67413e-08 3.23658e-01
6.55000e+02 1.33049e+00 1.77742e-08 3.41003e-01
6.61000e+02 1.33024e+00 1.93995e-08 3.68806e-01
6.65000e+02 1.33005e+00 2.03138e-08 3.83865e-01
6.70000e+02 1.32987e+00 2.09793e-08 3.93482e-01
6.75000e+02 1.32969e+00 2.17666e-08 4.05225e-01
6.81000e+02 1.32945e+00 2.30033e-08 4.24476e-01
6.85000e+02 1.32928e+00 2.47053e-08 4.53220e-01
6.90000e+02 1.32911e+00 2.65332e-08 4.83227e-01
6.95000e+02 1.32894e+00 2.96340e-08 5.35815e-01
7.00000e+02 1.32877e+00 3.34804e-08 6.01038e-01
7.05000e+02 1.32860e+00 4.10006e-08 7.30821e-01
7.10000e+02 1.32844e+00 4.99793e-08 8.84589e-01
7.14000e+02 1.32828e+00 5.99501e-08 1.05512e+00
7.19000e+02 1.32812e+00 7.29105e-08 1.27430e+00
7.24000e+02 1.32796e+00 9.13672e-08 1.58585e+00
7.29000e+02 1.32781e+00 1.15024e-07 1.98277e+00
7.35000e+02 1.32765e+00 1.34831e-07 2.30522e+00
7.40000e+02 1.32750e+00 1.45811e-07 2.47610e+00
7.45000e+02 1.32735e+00 1.53035e-07 2.58133e+00
7.50000e+02 1.32720e+00 1.55880e-07 2.61179e+00
7.55000e+02 1.32706e+00 1.58048e-07 2.63059e+00
7.60000e+02 1.32691e+00 1.58048e-07 2.61328e+00
7.66000e+02 1.32676e+00 1.56960e-07 2.57496e+00
7.69000e+02 1.32667e+00 1.52633e-07 2.49420e+00
7.74000e+02 1.32652e+00 1.47839e-07 2.40026e+00
7.80000e+02 1.32638e+00 1.40861e-07 2.26937e+00
7.85000e+02 1.32624e+00 1.33903e-07 2.14353e+00
7.91000e+02 1.32610e+00 1.28171e-07 2.03621e+00
7.94000e+02 1.32601e+00 1.25832e-07 1.99150e+00
8.00000e+02 1.32587e+00 1.24965e-07 1.96295e+00
8.05000e+02 1.32574e+00 1.26996e-07 1.98246e+00
8.09000e+02 1.32565e+00 1.32981e-07 2.06563e+00
8.15000e+02 1.32551e+00 1.44807e-07 2.23276e+00
8.20000e+02 1.32538e+00 1.62103e-07 2.48420e+00
8.24000e+02 1.32529e+00 1.81882e-07 2.77379e+00
8.30000e+02 1.32516e+00 2.04075e-07 3.08974e+00
8.36000e+02 1.32502e+00 2.24280e-07 3.37127e+00
8.39000e+02 1.32494e+00 2.45918e-07 3.68331e+00
8.45000e+02 1.32481e+00 2.69023e-07 4.00077e+00
8.49000e+02 1.32472e+00 2.92948e-07 4.33603e+00
8.55000e+02 1.32459e+00 3.15348e-07 4.63483e+00
8.59000e+02 1.32450e+00 3.34804e-07 4.89787e+00
8.65000e+02 1.32437e+00 3.54642e-07 5.15210e+00
8.71000e+02 1.32424e+00 3.74792e-07 5.40732e+00
8.75000e+02 1.32416e+00 3.90652e-07 5.61038e+00
8.79000e+02 1.32407e+00 4.05313e-07 5.79444e+00
8.85000e+02 1.32395e+00 4.23438e-07 6.01252e+00
8.89000e+02 1.32386e+00 4.40342e-07 6.22441e+00
8.95000e+02 1.32373e+00 4.62158e-07 6.48899e+00
8.99000e+02 1.32365e+00 4.86172e-07 6.79580e+00
9.06000e+02 1.32352e+00 5.14980e-07 7.14285e+00
9.10000e+02 1.32343e+00 5.69889e-07 7.86971e+00
9.14000e+02 1.32335e+00 6.69561e-07 9.20564e+00
9.20000e+02 1.32322e+00 8.30405e-07 1.13426e+01
