R P dT
+2.8947e+00 +1.2400e+02 +3.9599e+01
+3.3684e+00 +1.2400e+02 +3.9599e+01
+3.8421e+00 +1.2400e+02 +3.9599e+01
+4.3158e+00 +1.2400e+02 +3.9599e+01
+4.7895e+00 +1.2400e+02 +3.9599e+01
+5.2632e+00 +1.2400e+02 +3.9599e+01
+5.7368e+00 +1.2400e+02 +3.9599e+01
+6.2105e+00 +1.2400e+02 +3.9599e+01
+6.6842e+00 +1.2400e+02 +3.9599e+01
+7.1579e+00 +1.2400e+02 +3.9599e+01
+7.6316e+00 +1.2400e+02 +3.9598e+01
+8.1053e+00 +1.2400e+02 +3.9598e+01
+8.5789e+00 +1.2400e+02 +3.9598e+01
+9.0526e+00 +1.2400e+02 +3.9598e+01
+9.5263e+00 +1.2400e+02 +3.9598e+01
+1.0000e+01 +1.2400e+02 +3.9598e+01
+1.0000e+00 +1.3350e+02 +4.2633e+01
+1.4737e+00 +1.3350e+02 +4.2633e+01
+1.9474e+00 +1.3350e+02 +4.2633e+01
+2.4211e+00 +1.3350e+02 +4.2633e+01
+2.8947e+00 +1.3350e+02 +4.2633e+01
+3.3684e+00 +1.3350e+02 +4.2633e+01
+3.8421e+00 +1.3350e+02 +4.2633e+01
+4.3158e+00 +1.3350e+02 +4.2633e+01
+4.7895e+00 +1.3350e+02 +4.2632e+01
+5.2632e+00 +1.3350e+02 +4.2632e+01
+5.7368e+00 +1.3350e+02 +4.2632e+01
+6.2105e+00 +1.3350e+02 +4.2632e+01
+6.6842e+00 +1.3350e+02 +4.2632e+01
+7.1579e+00 +1.3350e+02 +4.2632e+01
+7.6316e+00 +1.3350e+02 +4.2632e+01
+8.1053e+00 +1.3350e+02 +4.2632e+01
+8.5789e+00 +1.3350e+02 +4.2632e+01
+9.0526e+00 +1.3350e+02 +4.2632e+01
+9.5263e+00 +1.3350e+02 +4.2632e+01
+1.0000e+01 +1.3350e+02 +4.2632e+01
+1.0000e+00 +1.4300e+02 +4.5667e+01
+1.4737e+00 +1.4300e+02 +4.5667e+01
+1.9474e+00 +1.4300e+02 +4.5667e+01
+2.4211e+00 +1.4300e+02 +4.5666e+01
+2.8947e+00 +1.4300e+02 +4.5666e+01
+3.3684e+00 +1.4300e+02 +4.5666e+01
+3.8421e+00 +1.4300e+02 +4.5666e+01
+4.3158e+00 +1.4300e+02 +4.5666e+01
+4.7895e+00 +1.4300e+02 +4.5666e+01
