f,raw,fit
+4.46000e+02,+2.43708e-09,+2.92807e-09
+4.50000e+02,+4.46579e-09,+2.88060e-09
+4.54000e+02,+1.90146e-09,+2.83424e-09
+4.58000e+02,+2.84814e-09,+2.78896e-09
+4.62000e+02,+2.78551e-09,+2.74472e-09
+4.66000e+02,+2.56426e-09,+2.70150e-09
+4.70000e+02,+3.05499e-09,+2.65927e-09
+4.74000e+02,+2.51805e-09,+2.61799e-09
+4.78000e+02,+3.39330e-09,+2.57763e-09
+4.82000e+02,+2.91797e-09,+2.53818e-09
+4.86000e+02,+3.28956e-09,+2.49961e-09
+4.90000e+02,+2.75989e-09,+2.46188e-09
+4.94000e+02,+3.40284e-09,+2.42498e-09
+4.98000e+02,+1.61061e-09,+2.38889e-09
+5.02000e+02,+1.87903e-09,+2.35357e-09
+5.06000e+02,+3.17797e-09,+2.31902e-09
+5.10000e+02,+2.66174e-09,+2.28520e-09
+5.14000e+02,+1.12289e-09,+2.25209e-09
+5.18000e+02,+3.08783e-09,+2.21969e-09
+5.22000e+02,+1.52512e-09,+2.18796e-09
+5.26000e+02,+1.23035e-09,+2.15690e-09
+5.30000e+02,+2.03542e-09,+2.12648e-09
+5.34000e+02,+8.70661e-10,+2.09668e-09
+5.38000e+02,+1.24400e-09,+2.06749e-09
+5.42000e+02,+2.59300e-09,+2.03889e-09
+5.46000e+02,+2.24942e-09,+2.01088e-09
+5.50000e+02,+2.53495e-09,+1.98342e-09
+5.54000e+02,+1.83875e-09,+1.95651e-09
+5.58000e+02,+2.10445e-09,+1.93013e-09
+5.62000e+02,+1.43205e-09,+1.90428e-09
+5.66000e+02,+1.86475e-09,+1.87892e-09
+5.70000e+02,+1.05329e-09,+1.85407e-09
+5.74000e+02,+2.16727e-09,+1.82969e-09
+5.78000e+02,+2.14542e-09,+1.80578e-09
+5.82000e+02,+2.17115e-09,+1.78233e-09
+5.86000e+02,+2.86278e-09,+1.75933e-09
+5.90000e+02,+1.57369e-09,+1.73676e-09
+5.94000e+02,+1.69089e-09,+1.71461e-09
+5.98000e+02,+1.90166e-09,+1.69288e-09
+6.02000e+02,+1.50744e-09,+1.67155e-09
+6.06000e+02,+2.17135e-09,+1.65061e-09
+6.10000e+02,+2.71910e-09,+1.63006e-09
+6.14000e+02,+1.68927e-09,+1.60989e-09
+6.18000e+02,+1.27175e-09,+1.59008e-09
+6.22000e+02,+7.29414e-10,+1.57063e-09
+6.26000e+02,+1.51285e-09,+1.55152e-09
+6.30000e+02,+1.19087e-09,+1.53276e-09
+6.34000e+02,+1.76760e-09,+1.51434e-09
+6.38000e+02,+3.46178e-09,+1.49623e-09
+6.42000e+02,+1.60355e-09,+1.47845e-09
+6.46000e+02,+2.03782e-09,+1.46097e-09
+6.50000e+02,+1.76230e-09,+1.44380e-09
+6.54000e+02,+7.42530e-10,+1.42693e-09
+6.58000e+02,+1.45163e-09,+1.41034e-09
+6.62000e+02,+1.47281e-09,+1.39404e-09
+6.66000e+02,+1.45637e-09,+1.37802e-09
+6.70000e+02,+1.10412e-09,+1.36226e-09
+6.74000e+02,+1.27235e-09,+1.34678e-09
+6.78000e+02,+1.57654e-09,+1.33155e-09
+6.82000e+02,+1.26562e-09,+1.31657e-09
+6.86000e+02,+1.12881e-09,+1.30184e-09
+6.90000e+02,+8.60551e-10,+1.28736e-09
+6.94000e+02,+8.12132e-10,+1.27311e-09
+6.98000e+02,+1.41754e-09,+1.25910e-09
+7.02000e+02,+1.07056e-09,+1.24531e-09
+7.06000e+02,+1.17147e-09,+1.23174e-09
+7.10000e+02,+2.42431e-09,+1.21839e-09
+7.14000e+02,+1.55044e-09,+1.20526e-09
+7.18000e+02,+7.80132e-10,+1.19233e-09
+7.22000e+02,+1.08245e-09,+1.17961e-09
+7.26000e+02,+1.11528e-09,+1.16709e-09
+7.30000e+02,+1.35455e-09,+1.15476e-09
+7.34000e+02,+1.14113e-09,+1.14263e-09
+7.38000e+02,+1.72831e-09,+1.13069e-09
+7.42000e+02,+1.16766e-09,+1.11892e-09
+7.46000e+02,+1.40190e-09,+1.10734e-09
+7.50000e+02,+1.13351e-09,+1.09594e-09
+7.54000e+02,+9.65493e-10,+1.08471e-09
+7.58000e+02,+1.16767e-09,+1.07365e-09
+7.62000e+02,+7.42223e-10,+1.06276e-09
+7.66000e+02,+8.42984e-10,+1.05203e-09
+7.70000e+02,+1.28972e-09,+1.04145e-09
+7.74000e+02,+5.76919e-10,+1.03104e-09
+7.78000e+02,+1.24931e-09,+1.02078e-09
+7.82000e+02,+1.18135e-09,+1.01067e-09
+7.86000e+02,+1.20485e-09,+1.00071e-09
+7.90000e+02,+5.76699e-10,+9.90895e-10
+7.94000e+02,+9.06512e-10,+9.81221e-10
+7.98000e+02,+5.79220e-10,+9.71687e-10
+8.02000e+02,+1.09302e-09,+9.62290e-10
+8.06000e+02,+8.83386e-10,+9.53027e-10
+8.10000e+02,+8.21783e-10,+9.43896e-10
+8.14000e+02,+9.21722e-10,+9.34895e-10
+8.18000e+02,+6.48441e-10,+9.26020e-10
+8.22000e+02,+1.19287e-09,+9.17270e-10
+8.26000e+02,+8.68103e-10,+9.08643e-10
+8.30000e+02,+7.35031e-10,+9.00135e-10
+8.34000e+02,+9.67400e-10,+8.91745e-10
+8.38000e+02,+7.61828e-10,+8.83472e-10
+8.42000e+02,+8.92419e-10,+8.75311e-10
+8.46000e+02,+9.80036e-10,+8.67262e-10
+8.50000e+02,+1.02306e-09,+8.59323e-10
+8.54000e+02,+8.34047e-10,+8.51492e-10
+8.58000e+02,+9.36630e-10,+8.43766e-10
+8.62000e+02,+9.42234e-10,+8.36144e-10
+8.66000e+02,+7.57022e-10,+8.28624e-10
+8.70000e+02,+5.59246e-10,+8.21204e-10
+8.74000e+02,+4.51197e-10,+8.13882e-10
+8.78000e+02,+8.48532e-10,+8.06657e-10
+8.82000e+02,+7.11965e-10,+7.99527e-10
+8.86000e+02,+5.51672e-10,+7.92491e-10
+8.90000e+02,+1.38685e-09,+7.85546e-10
+8.94000e+02,+5.74824e-10,+7.78692e-10
+8.98000e+02,+1.11604e-09,+7.71926e-10
+9.02000e+02,+6.58745e-10,+7.65247e-10
+9.06000e+02,+3.67743e-10,+7.58654e-10
+9.10000e+02,+5.84050e-10,+7.52145e-10
