time duty_50 duty_70 duty_100
+1.2794e+00 +3.0373e+00 +1.0373e+00 -9.6273e-01
+1.2836e+00 +3.1414e+00 +1.1414e+00 -8.5859e-01
+1.2878e+00 +3.3052e+00 +1.3052e+00 -6.9476e-01
+1.2920e+00 +3.5174e+00 +1.5174e+00 -4.8264e-01
+1.2962e+00 +3.7630e+00 +1.7630e+00 -2.3696e-01
+1.3004e+00 +4.0252e+00 +2.0252e+00 +2.5180e-02
+1.3046e+00 +4.2856e+00 +2.2856e+00 +2.8557e-01
+1.3088e+00 +4.5261e+00 +2.5261e+00 +5.2612e-01
+1.3130e+00 +4.7301e+00 +2.7301e+00 +7.3009e-01
+1.3172e+00 +4.8833e+00 +2.8833e+00 +8.8331e-01
+1.3214e+00 +4.9751e+00 +2.9751e+00 +9.7513e-01
+1.3257e+00 +4.9992e+00 +2.9992e+00 +9.9916e-01
+1.3299e+00 +4.9537e+00 +2.9537e+00 +9.5374e-01
+1.3341e+00 +4.8420e+00 +2.8420e+00 +8.4203e-01
+1.3383e+00 +4.6718e+00 +2.6718e+00 +6.7178e-01
+1.3425e+00 +4.4548e+00 +2.4548e+00 +4.5483e-01
+1.3467e+00 +4.2063e+00 +2.2063e+00 +2.0627e-01
+1.3509e+00 +3.9434e+00 +1.9434e+00 -5.6632e-02
+1.3551e+00 +3.6844e+00 +1.6844e+00 -3.1560e-01
+1.3593e+00 +3.4474e+00 +1.4474e+00 -5.5262e-01
+1.3635e+00 +3.2488e+00 +1.2488e+00 -7.5123e-01
+1.3677e+00 +3.1024e+00 +1.1024e+00 -8.9763e-01
+1.3719e+00 +3.0184e+00 +1.0184e+00 -9.8162e-01
+1.3762e+00 +3.0026e+00 +1.0026e+00 -9.9738e-01
+1.3804e+00 +3.0562e+00 +1.0562e+00 -9.4381e-01
+1.3846e+00 +3.1754e+00 +1.1754e+00 -8.2463e-01
+1.3888e+00 +3.3519e+00 +1.3519e+00 -6.4813e-01
+1.3930e+00 +3.5734e+00 +1.5734e+00 -4.2658e-01
+1.3972e+00 +3.8246e+00 +1.8246e+00 -1.7537e-01
+1.4014e+00 +4.0880e+00 +2.0880e+00 +8.8027e-02
+1.4056e+00 +4.3453e+00 +2.3453e+00 +3.4530e-01
+1.4098e+00 +4.5786e+00 +2.5786e+00 +5.7858e-01
+1.4140e+00 +4.7716e+00 +2.7716e+00 +7.7164e-01
+1.4182e+00 +4.9111e+00 +2.9111e+00 +9.1105e-01
